customer_id,gender,senior_citizen,partner,dependents,signup_date,tenure_months,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,total_tickets,has_support_ticket,avg_satisfaction_score,avg_monthly_data_gb,avg_monthly_call_minutes,tenure_bucket,annual_revenue_at_risk,total_addons_subscribed,is_churned
0020-INWCK,Female,0,Yes,Yes,31-08-2018,71,Two year,Yes,Credit card (automatic),95.75,6849.4,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,0,No,0,71.85417,628.08333,4+ Years,0,3,0
0020-JDNXP,Female,0,Yes,Yes,14-09-2021,34,One year,No,Mailed check,61.25,1993.2,No,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,3,Yes,2,64.89167,631.79167,2-3 Years,0,5,0
0021-IKXGC,Female,1,No,No,31-05-2024,1,Month-to-month,Yes,Electronic check,72.1,72.1,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,1,Yes,2,141.2,838,0-1 Year,0,0,0
0022-TCJCI,Male,1,No,No,19-10-2020,45,One year,No,Credit card (automatic),62.7,2791.5,Yes,Yes,No,DSL,Yes,No,Yes,No,No,Yes,1,Yes,5,79.22917,725.70833,3-4 Years,752.4,3,1
0023-HGHWL,Male,1,No,No,31-05-2024,1,Month-to-month,Yes,Electronic check,25.1,25.1,Yes,No,No phone service,DSL,No,No,No,No,No,No,3,Yes,3.3333,20.4,653,0-1 Year,301.2,0,1
0023-UYUPN,Female,1,Yes,No,22-05-2020,50,One year,No,Electronic check,25.2,1306.3,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,4,61,619.29167,4+ Years,0,0,0
0023-XUOPT,Female,0,Yes,No,06-06-2023,13,Month-to-month,No,Electronic check,94.1,1215.6,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,3,Yes,2,54.29231,574.84615,1-2 Years,1129.2,3,1
0027-KWYKW,Female,0,Yes,Yes,10-08-2022,23,Month-to-month,Yes,Electronic check,83.75,1849.95,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,3,Yes,3,58.68261,627.17391,1-2 Years,0,1,0
0030-FNXPP,Female,0,No,No,01-04-2024,3,Month-to-month,No,Mailed check,19.85,57.2,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,0,98.3,410.66667,0-1 Year,0,0,0
0031-PVLZI,Female,0,Yes,Yes,02-03-2024,4,Month-to-month,No,Mailed check,20.35,76.35,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,4,Yes,3,59.275,608.75,0-1 Year,244.2,0,1
0032-PGELS,Female,0,Yes,Yes,31-05-2024,1,Month-to-month,No,Bank transfer (automatic),30.5,30.5,Yes,No,No phone service,DSL,Yes,No,No,No,No,No,3,Yes,2.3333,8.7,122,0-1 Year,366,1,1
0036-IHMOT,Female,0,Yes,Yes,24-12-2019,55,One year,Yes,Bank transfer (automatic),103.7,5656.75,No,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,0,No,0,75.84167,550.25,4+ Years,0,5,0
0040-HALCW,Male,0,Yes,Yes,23-01-2020,54,Two year,No,Credit card (automatic),20.4,1090.6,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,2.5,80.95833,604.08333,4+ Years,0,0,0
0042-JVWOJ,Male,0,No,No,12-05-2022,26,One year,Yes,Bank transfer (automatic),19.6,471.85,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,0,61.8875,583.95833,2-3 Years,0,0,0
0042-RLHYP,Female,0,Yes,Yes,30-10-2018,69,Two year,No,Bank transfer (automatic),19.7,1396.9,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,3,74.5875,598.91667,4+ Years,0,0,0
0048-LUMLS,Male,0,Yes,Yes,16-06-2021,37,One year,No,Credit card (automatic),91.2,3247.55,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,2,Yes,4,67.35,646.41667,3-4 Years,0,2,0
0048-PIHNL,Female,0,Yes,No,21-06-2020,49,One year,No,Bank transfer (automatic),20.45,900.9,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,0,83.7875,638.45833,4+ Years,0,0,0
0052-DCKON,Male,0,Yes,No,28-01-2019,66,One year,No,Bank transfer (automatic),115.8,7942.15,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,0,No,0,73.11667,584.875,4+ Years,0,6,0
0052-YNYOT,Female,0,No,No,29-12-2018,67,One year,No,Electronic check,20.55,1343.4,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,4,Yes,3,76.62917,553.33333,4+ Years,0,0,0
0056-EPFBG,Male,0,Yes,Yes,08-11-2022,20,Two year,Yes,Credit card (automatic),39.4,825.4,No,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,1,Yes,5,89.765,688.9,1-2 Years,0,3,0
0057-QBUQH,Female,0,No,Yes,18-12-2020,43,Two year,Yes,Electronic check,25.1,1070.15,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,4,88.06667,684.83333,3-4 Years,0,0,0
0058-EVZWM,Female,0,Yes,No,24-12-2019,55,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6,No,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,1,Yes,4,75.04167,657.33333,4+ Years,0,2,0
0060-FUALY,Female,0,Yes,No,26-08-2019,59,Month-to-month,Yes,Electronic check,94.75,5597.65,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,1,Yes,5,68.58333,640.45833,4+ Years,0,3,0
0064-SUDOG,Female,0,Yes,Yes,06-07-2023,12,Two year,No,Bank transfer (automatic),20.3,224.5,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,3,63.45833,716.75,0-1 Year,0,0,0
0064-YIJGF,Male,0,Yes,Yes,12-04-2022,27,Month-to-month,Yes,Bank transfer (automatic),75.75,1929,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,1,Yes,2,84.45833,586.95833,2-3 Years,0,0,0
0067-DKWBL,Male,1,No,No,01-05-2024,2,Month-to-month,Yes,Electronic check,49.25,91.1,Yes,Yes,No,DSL,Yes,No,No,No,No,No,2,Yes,2.5,82.55,462,0-1 Year,591,1,1
0068-FIGTF,Female,0,No,No,12-04-2022,27,One year,No,Mailed check,78.2,2078.95,No,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,1,Yes,1,70.14167,712.83333,2-3 Years,0,5,0
0071-NDAFP,Male,0,Yes,Yes,11-06-2022,25,Two year,No,Credit card (automatic),25.5,630.6,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,2,75.525,607.08333,2-3 Years,0,0,0
0074-HDKDG,Male,0,Yes,Yes,11-06-2022,25,One year,Yes,Bank transfer (automatic),61.6,1611,No,Yes,No,DSL,Yes,Yes,Yes,No,No,No,0,No,0,74.8875,555.20833,2-3 Years,0,3,0
0076-LVEPS,Male,0,No,Yes,11-02-2022,29,Month-to-month,Yes,Mailed check,45,1242.45,No,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,2,Yes,3,66.81667,551.33333,2-3 Years,0,4,0
0078-XZMHT,Male,0,Yes,No,01-08-2018,72,Two year,Yes,Bank transfer (automatic),85.15,6316.2,No,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,1,Yes,5,80.94167,633.375,4+ Years,0,5,0
0080-EMYVY,Female,0,No,No,07-05-2023,14,One year,No,Credit card (automatic),51.45,727.85,No,Yes,No,DSL,No,Yes,No,No,No,No,1,Yes,3,76.11429,673.64286,1-2 Years,0,1,0
0080-OROZO,Female,0,No,No,15-08-2021,35,One year,Yes,Electronic check,99.25,3532,No,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,1,Yes,4,67.06667,522.83333,2-3 Years,0,4,0
0082-LDZUE,Male,0,No,No,31-05-2024,1,Month-to-month,Yes,Mailed check,44.3,44.3,No,Yes,No,DSL,No,No,No,No,No,No,1,Yes,5,110.6,526,0-1 Year,0,0,0
0082-OQIQY,Male,0,No,No,11-02-2022,29,Month-to-month,Yes,Electronic check,94.2,2607.6,No,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,0,No,0,79.5,660.5,2-3 Years,0,3,0
0083-PIVIK,Male,0,No,No,29-03-2019,64,One year,No,Electronic check,81.25,5567.55,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,1,Yes,4,84.47083,632.75,4+ Years,0,5,0
0089-IIQKO,Female,0,Yes,Yes,17-04-2021,39,Month-to-month,Yes,Credit card (automatic),99.95,3767.4,No,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,1,Yes,2,72.05417,753.83333,3-4 Years,0,3,0
0093-EXYQL,Female,1,No,No,18-03-2021,40,Month-to-month,Yes,Electronic check,91.55,3673.6,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,1,Yes,2,82.62083,550.125,3-4 Years,0,2,0
0093-XWZFY,Male,0,No,No,18-03-2021,40,Month-to-month,Yes,Credit card (automatic),104.5,4036.85,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,1,Yes,2,64.58333,688.375,3-4 Years,1254,4,1
0094-OIFMO,Female,1,No,No,05-08-2023,11,Month-to-month,Yes,Electronic check,95,1120.3,Yes,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,3,Yes,2.3333,64.2,602.27273,0-1 Year,1140,3,1
0096-BXERS,Female,0,Yes,No,02-01-2024,6,Month-to-month,No,Electronic check,50.35,314.55,No,Yes,Yes,DSL,No,No,No,No,No,No,3,Yes,3.3333,95.6,759,0-1 Year,0,0,0
0096-FCPUF,Male,0,No,No,12-01-2022,30,Month-to-month,Yes,Mailed check,64.5,1888.45,No,Yes,Yes,DSL,Yes,No,No,No,No,Yes,0,No,0,67.3375,597.79167,2-3 Years,0,2,0
0098-BOWSO,Male,0,No,No,12-04-2022,27,Month-to-month,Yes,Electronic check,19.4,529.8,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,4,76.15417,612.04167,2-3 Years,0,0,0
0100-DUVFC,Male,1,Yes,No,30-09-2018,70,One year,Yes,Electronic check,104.8,7308.95,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,2,Yes,4,81.63333,489.33333,4+ Years,0,4,0
0103-CSITQ,Female,0,Yes,No,25-10-2019,57,One year,Yes,Bank transfer (automatic),109.4,6252.7,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,4,Yes,3.75,83.03333,640.20833,4+ Years,0,5,0
0104-PPXDV,Male,0,Yes,No,25-09-2019,58,One year,No,Credit card (automatic),50.3,2878.55,No,Yes,No,DSL,No,No,Yes,No,No,No,3,Yes,2.6667,69.29583,793,4+ Years,0,1,0
0106-GHRQR,Male,0,No,No,08-03-2023,16,Month-to-month,Yes,Bank transfer (automatic),71.4,1212.1,No,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,0,No,0,55.85625,639.875,1-2 Years,0,3,0
0106-UGRDO,Female,0,Yes,No,30-10-2018,69,Two year,Yes,Electronic check,116,8182.85,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,0,No,0,80.45417,507.5,4+ Years,0,6,0
0107-WESLM,Male,0,No,No,31-05-2024,1,Month-to-month,Yes,Electronic check,19.85,19.85,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,Yes,3.6667,81.4,601,0-1 Year,238.2,0,1
0107-YHINA,Male,0,No,Yes,31-05-2024,1,Month-to-month,Yes,Electronic check,99.75,99.75,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,3,Yes,2,85.6,686,0-1 Year,1197,3,1
0111-KLBQG,Male,1,Yes,Yes,13-11-2021,32,Month-to-month,Yes,Mailed check,93.95,2861.45,No,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,2,Yes,1.5,82.25833,632.79167,2-3 Years,0,3,0
0112-QAWRZ,Male,0,Yes,Yes,08-03-2023,16,Month-to-month,Yes,Bank transfer (automatic),90.8,1442.2,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,2,Yes,3.5,86.325,684.625,1-2 Years,0,2,0
0112-QWPNC,Male,0,Yes,No,21-06-2020,49,One year,No,Electronic check,84.35,4059.35,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,3,Yes,2,71.10417,562.75,4+ Years,1012.2,5,1
0114-IGABW,Female,0,Yes,No,31-08-2018,71,Two year,No,Bank transfer (automatic),58.25,4145.9,No,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,1,Yes,1,76.4375,609.79167,4+ Years,0,5,0
0114-PEGZZ,Female,0,No,No,14-10-2021,33,Month-to-month,No,Electronic check,107.55,3645.5,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,2,Yes,3,85.43333,570.875,2-3 Years,0,4,0
0114-RSRRW,Female,0,Yes,No,04-09-2023,10,Month-to-month,Yes,Bank transfer (automatic),19.95,187.75,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,5,57.94,787,0-1 Year,0,0,0
0115-TFERT,Male,0,Yes,No,09-10-2022,21,Month-to-month,Yes,Electronic check,111.2,2317.1,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,1,Yes,4,79.7619,614.04762,1-2 Years,1334.4,5,1
0117-LFRMW,Male,0,Yes,Yes,16-06-2021,37,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,Yes,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,2,Yes,3.5,76.2875,603.41667,3-4 Years,482.4,3,1
0118-JPNOY,Female,1,No,No,12-05-2022,26,Month-to-month,Yes,Credit card (automatic),85.8,2193.65,No,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,2,Yes,3,62.96667,693.95833,2-3 Years,0,2,0
0121-SNYRK,Male,0,No,No,22-05-2020,50,One year,Yes,Mailed check,35.4,1748.9,No,No,No phone service,DSL,Yes,No,No,Yes,No,No,3,Yes,2.3333,61.94583,697.45833,4+ Years,0,2,0
0122-OAHPZ,Female,0,No,No,03-12-2023,7,Month-to-month,Yes,Electronic check,73.85,511.25,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,4,Yes,4,47.67143,428.71429,0-1 Year,886.2,0,1
0123-CRBRT,Female,0,Yes,Yes,27-06-2019,61,Two year,No,Mailed check,88.1,5526.75,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,1,Yes,3,73.11667,567.83333,4+ Years,0,6,0
0125-LZQXK,Male,0,No,No,07-04-2023,15,Month-to-month,Yes,Electronic check,101.35,1553.95,Yes,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,3,Yes,4.3333,83.58,598.66667,1-2 Years,1216.2,4,1
0128-MKWSG,Female,0,No,Yes,12-05-2022,26,Month-to-month,No,Mailed check,45.8,1147,No,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,2,Yes,3,86.94167,603.16667,2-3 Years,0,3,0
0129-KPTWJ,Male,0,Yes,No,01-08-2018,72,Month-to-month,Yes,Electronic check,94.65,6747.35,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,0,No,0,75.64167,589.95833,4+ Years,0,3,0
0129-QMPDR,Male,0,Yes,Yes,18-11-2020,44,One year,Yes,Bank transfer (automatic),20.5,865.05,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,0,82.40417,619.29167,3-4 Years,0,0,0
0130-SXOUN,Male,0,No,No,28-01-2019,66,Month-to-month,No,Credit card (automatic),89.4,5976.9,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,1,Yes,3,76.175,643.875,4+ Years,0,2,0
0133-BMFZO,Female,0,No,No,01-05-2024,2,Month-to-month,Yes,Electronic check,86.25,181.65,Yes,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,4,Yes,3.75,120,768,0-1 Year,1035,3,1
0134-XWXCE,Female,1,No,No,18-11-2020,44,One year,No,Bank transfer (automatic),74.85,3268.05,No,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,1,Yes,5,72.59167,557.29167,3-4 Years,0,4,0
0135-NMXAP,Female,0,No,No,06-07-2023,12,Month-to-month,Yes,Bank transfer (automatic),89.75,1052.4,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,3,Yes,2.3333,69.25833,561.08333,0-1 Year,1077,2,1
0136-IFMYD,Male,1,Yes,No,30-10-2018,69,Two year,Yes,Electronic check,109.95,7634.25,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,0,No,0,71.94583,558.95833,4+ Years,0,5,0
0137-OCGAB,Female,0,No,No,31-05-2024,1,Month-to-month,Yes,Mailed check,80.2,80.2,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,1,Yes,1,141.2,328,0-1 Year,962.4,1,1
0137-UDEUO,Female,0,No,No,01-04-2024,3,Month-to-month,No,Mailed check,19.85,63.75,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,1,63.33333,401.66667,0-1 Year,238.2,0,1
0139-IVFJG,Female,0,Yes,No,01-05-2024,2,Month-to-month,No,Electronic check,90.35,190.5,No,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,0,No,0,32.05,558,0-1 Year,0,3,0
0141-YEAYS,Female,1,No,No,12-04-2022,27,Month-to-month,Yes,Bank transfer (automatic),86.45,2401.05,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,1,Yes,3,74.78333,734.91667,2-3 Years,0,2,0
0142-GVYSN,Male,0,No,No,12-05-2022,26,Month-to-month,Yes,Electronic check,20.3,511.25,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,Yes,3.3333,78.2125,517.70833,2-3 Years,0,0,0
0147-ESWWR,Female,1,Yes,No,17-04-2021,39,Month-to-month,Yes,Electronic check,101.25,3949.15,No,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,2,Yes,3,64.91667,659.66667,3-4 Years,0,3,0
0148-DCDOS,Male,0,No,No,11-06-2022,25,Month-to-month,Yes,Bank transfer (automatic),94.7,2362.1,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,3,Yes,3.3333,70.34167,715.70833,2-3 Years,1136.4,2,1
0151-ONTOV,Female,0,No,No,31-05-2024,1,Month-to-month,No,Mailed check,70.9,70.9,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,4,Yes,2,45.7,406,0-1 Year,850.8,0,1
0156-FVPTA,Male,0,Yes,No,09-09-2022,22,Month-to-month,Yes,Electronic check,54.2,1152.7,Yes,Yes,No,DSL,Yes,No,No,Yes,No,No,3,Yes,3,76.48636,501.72727,1-2 Years,650.4,2,1
0164-APGRB,Female,0,No,No,01-08-2018,72,Two year,Yes,Electronic check,114.9,8496.7,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,2.5,57.58333,592.20833,4+ Years,0,6,0
0164-XAIRP,Female,0,No,No,11-07-2022,24,Two year,Yes,Bank transfer (automatic),19.55,470.2,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,3,84.4625,539.08333,1-2 Years,0,0,0
0168-XZKBB,Female,0,Yes,No,08-12-2022,19,Month-to-month,Yes,Electronic check,86.85,1564.4,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,0,No,0,87.48947,545.63158,1-2 Years,0,1,0
0174-QRVVY,Male,0,Yes,Yes,31-08-2018,71,Two year,No,Credit card (automatic),25.35,1847.55,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,1,86.17917,685.45833,4+ Years,0,0,0
0177-PXBAT,Male,1,Yes,No,14-10-2021,33,Month-to-month,Yes,Bank transfer (automatic),109.9,3694.7,No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,0,No,0,71.50833,529.04167,2-3 Years,0,5,0
0178-CIIKR,Female,0,No,No,01-04-2024,3,Month-to-month,No,Mailed check,19.95,58,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,1,75.03333,861.66667,0-1 Year,0,0,0
0178-SZBHO,Male,0,Yes,Yes,20-08-2020,47,Month-to-month,No,Electronic check,87.2,4017.45,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,1,Yes,3,75.70417,670.75,3-4 Years,0,2,0
0181-RITDD,Male,0,Yes,Yes,28-05-2019,62,Two year,No,Mailed check,108.15,6825.65,No,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,3.6667,64.97083,528.45833,4+ Years,0,6,0
0186-CAERR,Male,0,No,No,31-08-2018,71,One year,Yes,Bank transfer (automatic),116.3,8309.55,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,3.5,80.4375,615.45833,4+ Years,0,6,0
0187-QSXOE,Male,1,Yes,No,03-12-2023,7,Month-to-month,Yes,Electronic check,89,605.45,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,1,Yes,4,65.5,747.71429,0-1 Year,0,2,0
0187-WZNAB,Female,0,Yes,Yes,12-04-2022,27,Month-to-month,No,Mailed check,74.4,1972.35,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,1,Yes,3,71.90833,513.29167,2-3 Years,0,1,0
0188-GWFLE,Male,0,No,No,01-05-2024,2,Month-to-month,No,Mailed check,20.05,33.7,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,0,43,944,0-1 Year,0,0,0
0191-EQUUH,Female,0,No,Yes,11-06-2022,25,Two year,No,Bank transfer (automatic),35.05,844.45,No,No,No phone service,DSL,Yes,No,No,Yes,No,No,0,No,0,83.68333,535.625,2-3 Years,0,2,0
0191-ZHSKZ,Male,1,No,No,12-01-2022,30,Month-to-month,Yes,Electronic check,74.75,2111.3,No,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,2,Yes,3.5,71.23333,546.95833,2-3 Years,0,4,0
0193-ESZXP,Female,1,Yes,No,25-09-2019,58,One year,Yes,Credit card (automatic),105.5,6205.5,Yes,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,1,Yes,5,79.60833,599.20833,4+ Years,1266,5,1
0195-IESCP,Male,0,Yes,No,04-09-2023,10,Month-to-month,Yes,Electronic check,85.25,855.3,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,2,Yes,3,81.1,767.3,0-1 Year,1023,1,1
0196-JTUQI,Female,0,No,No,04-10-2023,9,Month-to-month,Yes,Credit card (automatic),75.2,633.85,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,1,Yes,3,57.95556,713.66667,0-1 Year,0,0,0
0196-VULGZ,Female,1,Yes,No,02-01-2024,6,Month-to-month,Yes,Electronic check,84.35,474.9,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,1,Yes,1,62.13333,655.66667,0-1 Year,1012.2,1,1
0197-PNKNK,Female,0,Yes,Yes,30-10-2018,69,One year,No,Bank transfer (automatic),84.45,5848.6,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,0,No,0,81.31667,702.54167,4+ Years,0,2,0
